,Segment,Rate,Lump Sum
0,seg1,4.2500%,909712.94
1,seg1,4.5000%,908019.38
2,seg1,4.7500%,906339.99
3,seg2,4.7100%,921957.8
4,seg2,4.9600%,908019.38
5,seg2,5.2100%,894527.52
6,seg3,5.1500%,918162.68
7,seg3,5.4000%,908019.38
8,seg3,5.6500%,898546.19
