Age,417(e)
0,0.00329
1,0.00023
2,0.00015
3,0.00011
4,0.0001
5,0.00008
6,0.00007
7,0.00007
8,0.00006
9,0.00005
10,0.00005
11,0.00006
12,0.00007
13,0.00009
14,0.00011
15,0.00013
16,0.00015
17,0.00018
18,0.0002
19,0.00022
20,0.00023
21,0.00023
22,0.00024
23,0.00025
24,0.00027
25,0.00027
26,0.00028
27,0.00029
28,0.0003
29,0.00032
30,0.00033
31,0.00035
32,0.00037
33,0.0004
34,0.00041
35,0.00044
36,0.00046
37,0.00049
38,0.00051
39,0.00054
40,0.00055
41,0.00057
42,0.00059
43,0.00061
44,0.00063
45,0.00065
46,0.00069
47,0.00073
48,0.00078
49,0.00084
50,0.00091
51,0.00101
52,0.00113
53,0.00127
54,0.00143
55,0.0017
56,0.0021
57,0.00243
58,0.00282
59,0.00325
60,0.00376
61,0.0043
62,0.00508
63,0.00586
64,0.0065
65,0.00734
66,0.00826
67,0.00913
68,0.01009
69,0.01117
70,0.01241
71,0.01385
72,0.01547
73,0.01731
74,0.01944
75,0.02187
76,0.02466
77,0.02783
78,0.03145
79,0.03556
80,0.04047
81,0.04547
82,0.0511
83,0.05742
84,0.06457
85,0.07272
86,0.08199
87,0.09246
88,0.1043
89,0.11743
90,0.13187
91,0.14694
92,0.1625
93,0.17847
94,0.19463
95,0.21093
96,0.22827
97,0.24607
98,0.26439
99,0.28327
100,0.30251
101,0.32196
102,0.34133
103,0.36055
104,0.37955
105,0.39798
106,0.41592
107,0.43319
108,0.44968
109,0.46547
110,0.47806
111,0.48622
112,0.49394
113,0.49756
114,0.49863
115,0.49965
116,0.49983
117,0.49993
118,0.49998
119,0.5
120,1
